"batter","name","pa","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","barrel_batted_rate","flares_burners","solid","barrels","b_bb_percent","flare_burner_pa","solid_pa","barrel_pa","ipa"
602074," Yonathan Daza",331,"0.26","0.335","0.304","0.292","0.315","0.075","85.2","2","73","7","5","0.063","0.22","0.02","0.02","0.090"
602104," Ramon Urias",296,"0.27","0.427","0.341","0.344","0.354","0.156","89.6","9.7","58","8","18","0.095","0.20","0.03","0.06","0.135"
605113," Nick Ahmed",473,"0.208","0.29","0.269","0.249","0.268","0.083","87.2","2.4","74","15","8","0.072","0.16","0.03","0.02","0.081"
605119," Brian Anderson",264,"0.215","0.374","0.314","0.299","0.307","0.159","88.8","7.7","36","13","13","0.098","0.14","0.05","0.05","0.117"
605137," Josh Bell",568,"0.277","0.488","0.352","0.367","0.363","0.211","92.5","8.8","97","27","35","0.114","0.17","0.05","0.06","0.141"
605141," Mookie Betts",550,"0.263","0.445","0.365","0.357","0.369","0.182","90.3","7.8","90","29","30","0.124","0.16","0.05","0.05","0.137"
605170," Victor Caratini",356,"0.228","0.356","0.273","0.291","0.313","0.128","90","6.8","53","13","15","0.098","0.15","0.04","0.04","0.111"
605412," Joe Panik",257,"0.238","0.324","0.244","0.273","0.293","0.086","86.5","1.5","56","12","3","0.066","0.22","0.05","0.01","0.093"
605548," Bradley Zimmer",348,"0.225","0.372","0.3","0.317","0.327","0.147","90.7","9.4","41","12","16","0.086","0.12","0.03","0.05","0.103"
605612," Harold Castro",339,"0.287","0.414","0.291","0.315","0.315","0.127","88.6","3.2","86","16","8","0.041","0.25","0.05","0.02","0.106"
606132," Raimel Tapia",533,"0.25","0.318","0.305","0.281","0.307","0.068","85.7","2.1","83","6","9","0.075","0.16","0.01","0.02","0.077"
606192," Teoscar Hernandez",595,"0.284","0.537","0.369","0.37","0.336","0.252","91.8","13.9","95","31","55","0.061","0.16","0.05","0.09","0.151"
606213," Yermin Mercedes",262,"0.246","0.417","0.317","0.313","0.306","0.17","87.3","7.2","42","6","14","0.076","0.16","0.02","0.05","0.114"
606466," Ketel Marte",374,"0.307","0.495","0.385","0.372","0.37","0.188","91.1","8.9","79","19","24","0.083","0.21","0.05","0.06","0.145"
606992," Eric Haase",381,"0.235","0.463","0.316","0.322","0.291","0.228","90.9","13.7","52","11","32","0.068","0.14","0.03","0.08","0.134"
607043," Brandon Nimmo",386,"0.273","0.393","0.37","0.351","0.386","0.12","89.3","4","72","11","9","0.140","0.19","0.03","0.02","0.113"
607054," Jace Peterson",302,"0.239","0.372","0.318","0.322","0.343","0.133","87.7","5.2","52","12","10","0.126","0.17","0.04","0.03","0.117"
607208," Trea Turner",646,"0.304","0.485","0.386","0.364","0.355","0.181","89.6","7.4","136","25","34","0.063","0.21","0.04","0.05","0.125"
607680," Kevin Pillar",347,"0.223","0.371","0.296","0.28","0.27","0.148","85.8","7.3","55","16","18","0.032","0.16","0.05","0.05","0.105"
607732," Jacob Stallings",427,"0.245","0.369","0.312","0.314","0.335","0.125","88.1","4.5","86","17","13","0.115","0.20","0.04","0.03","0.119"
608070," Jose Ramirez",636,"0.284","0.511","0.372","0.377","0.375","0.227","90","11.1","102","23","52","0.113","0.16","0.04","0.08","0.153"
608324," Alex Bregman",400,"0.263","0.422","0.336","0.336","0.35","0.159","89","6.4","74","21","19","0.110","0.19","0.05","0.05","0.132"
608336," Joey Gallo",616,"0.203","0.466","0.348","0.355","0.354","0.263","91.5","18.5","46","11","52","0.180","0.07","0.02","0.08","0.150"
608348," Carson Kelly",359,"0.251","0.425","0.328","0.343","0.355","0.174","88.2","8.5","60","13","20","0.123","0.17","0.04","0.06","0.134"
608369," Corey Seager",409,"0.295","0.53","0.389","0.392","0.386","0.235","91","12.4","62","28","35","0.117","0.15","0.07","0.09","0.164"
608385," Jesse Winker",485,"0.295","0.524","0.403","0.39","0.385","0.229","90.6","11.2","92","24","39","0.109","0.19","0.05","0.08","0.161"
608596," Tom Murphy",325,"0.193","0.347","0.291","0.292","0.299","0.154","88.6","8.8","43","9","16","0.123","0.13","0.03","0.05","0.118"
608686," Jack Mayfield",290,"0.189","0.321","0.284","0.251","0.246","0.132","85.3","6.4","33","12","13","0.059","0.11","0.04","0.04","0.095"
614177," Franmil Reyes",466,"0.247","0.514","0.354","0.354","0.32","0.267","92","16.9","61","16","44","0.092","0.13","0.03","0.09","0.151"
620443," Luis Torrens",378,"0.245","0.428","0.311","0.318","0.304","0.183","90.9","10.4","63","18","26","0.074","0.17","0.05","0.07","0.135"
621020," Dansby Swanson",653,"0.251","0.456","0.322","0.332","0.316","0.205","89.3","11.4","97","26","49","0.080","0.15","0.04","0.08","0.136"
621028," Kevin Newman",554,"0.255","0.33","0.249","0.275","0.293","0.076","85.3","1.6","110","17","8","0.049","0.20","0.03","0.01","0.082"
621035," Chris Taylor",582,"0.237","0.422","0.338","0.329","0.33","0.185","88.2","10.2","81","21","35","0.108","0.14","0.04","0.06","0.127"
621043," Carlos Correa",640,"0.296","0.482","0.364","0.373","0.38","0.187","90.2","9.4","117","31","42","0.117","0.18","0.05","0.07","0.148"
621433," Brett Phillips",292,"0.179","0.359","0.313","0.284","0.279","0.18","89.6","11.1","28","14","16","0.113","0.10","0.05","0.05","0.117"
621438," Tyrone Taylor",271,"0.24","0.402","0.333","0.315","0.316","0.162","88.6","7.6","42","8","14","0.074","0.15","0.03","0.05","0.112"
621439," Byron Buxton",254,"0.3","0.611","0.419","0.407","0.352","0.311","92.5","17.9","30","8","29","0.051","0.12","0.03","0.11","0.153"
621446," Lewis Brinson",290,"0.242","0.374","0.275","0.286","0.279","0.131","88.5","6.4","53","8","13","0.045","0.18","0.03","0.04","0.104"
621453," Steven Duggar",297,"0.233","0.408","0.327","0.308","0.308","0.175","88","8.3","45","11","15","0.091","0.15","0.04","0.05","0.117"
621466," DJ Stewart",318,"0.205","0.383","0.31","0.315","0.325","0.178","87.8","9.4","40","8","17","0.138","0.13","0.03","0.05","0.124"
621550," Patrick Wisdom",375,"0.216","0.46","0.346","0.321","0.291","0.244","91.2","16.2","49","14","30","0.085","0.13","0.04","0.08","0.137"
621563," Joey Wendle",501,"0.238","0.356","0.317","0.286","0.295","0.118","87.9","4.6","88","14","16","0.056","0.18","0.03","0.03","0.094"
621566," Matt Olson",673,"0.264","0.507","0.379","0.378","0.374","0.243","91.6","12.7","90","36","58","0.131","0.13","0.05","0.09","0.160"
622110," Matt Duffy",322,"0.275","0.385","0.327","0.325","0.346","0.11","87.5","4","71","6","9","0.078","0.22","0.02","0.03","0.105"
